X,Y,OBJECTID,NAME,WEB_URL,RELIGION,ADDRESS,XCOORD,YCOORD,PLACE_OF_WORSHIP,Is_Place_Of_Worship,GIS_ID,ADDRID
-76.998133724306868,38.893831354466869,79,IMANI TEMPLE,,CHRISTIAN,609 MARYLAND AVE NE,400162.1,136219.67,CHURCHES,1,,
-77.001788224155476,38.91348632359891,80,JAMES MEMORIAL BAPTIST CHURCH,,CHRISTIAN,1723 3RD ST NE,399845.11,138401.53,CHURCHES,1,,
-76.997845409605276,38.921219790237608,81,GREATER MT CALVARY HOLY CHURCH,GMCHC.ORG,CHRISTIAN,610 RHODE ISLAND AVE NE,400187.04,139260.01,CHURCHES,1,,
-76.977376099885461,38.897898708790201,82,GREATER MT PISGAH BAPTIST CHR,,CHRISTIAN,1818 GALES ST NE,401962.74,136671.42,CHURCHES,1,,
-76.978006671100232,38.898280783814037,83,PEACE BAPTIST CHURCH,PBC712.COM,CHRISTIAN,712 18TH ST NE,401908.03,136713.82,CHURCHES,1,,
-76.99127478953298,38.898718352619923,84,PEOPLES COMMUNITY CHURCH,<Null>,CHRISTIAN,653 11TH ST NE,400757.07,136762.2,CHURCHES,1,,
-76.980294284097624,38.897398912884647,85,PILGRIM A M E OUTREACH CHURCH,,CHRISTIAN,612 17TH ST NE,401709.61,136615.88,CHURCHES,1,,
-76.995960296007937,38.901537414482632,86,PILGRIM BAPTIST CHURCH,PILGRIMBAPTISTDC.ORG,CHRISTIAN,700 I ST NE,400350.61,137075.11,CHURCHES,1,,
-77.000271694937823,38.899343227707256,87,NORTHEAST HOLY TRINITY CHURCH,NEHOLYTRINITYCHURCH.ORG,CHRISTIAN,709 4TH ST NE,399976.63,136831.53,CHURCHES,1,,
-76.983386418988047,38.894257725460697,88,NEW ABUNDANT LIFE MISSIONARY,,CHRISTIAN,331 15TH ST NE,401441.44,136267.13,CHURCHES,1,,
-76.998736858360829,38.905117848106912,89,MT OLIVE BAPTIST CHURCH,MTOBC1140.ORG,CHRISTIAN,1140 6TH ST NE,400109.76,137472.56,CHURCHES,1,,
-76.988003514369296,38.890359917501797,90,LINCOLN PARK UNITED MTHDST CHR,UMC.ORG,CHRISTIAN,1301 N CAROLINA AVE NE,401040.96,135834.38,CHURCHES,1,,
-76.99199056348867,38.894599869159684,91,LIVING WATER WORSHIP CTR,,CHRISTIAN,1015 D ST NE,400695.02,136305.01,CHURCHES,1,,
-77.001077749923269,38.915301332020178,92,GRACE FELLOWSHIP BAPTIST MSN,,CHRISTIAN,319 T ST NE,399906.73,138603.01,CHURCHES,1,,
-76.983406156197887,38.895634657400237,93,HWY CHRISTIAN CHURCH,,CHRISTIAN,431 15TH ST NE,401439.7,136419.98,CHURCHES,1,,
