"NAME","WEB_URL","ADDRESS","manual_lookup"
"FAITH MISSION TEMPLE","FAITHMISSIONTEMPLE.ORG","102 KENNEDY ST NW",
"FAITH MORAVIAN CHR-THE NATIONS","FAITHMORAVIANCHURCH.ORG","405 RIGGS RD NE",
"JEMBOLLA SISAY",,"4401 16TH ST NW",
"INTERNATIONAL ETHIOPIAN","EECDC.ORG","7930 EASTERN AVE NW",
"NATI SPIRITUAL","NSSDC.ORG","1325 FERN ST NW",
"IGLESIA DE JESUCRISTO PALABRA","MIELVISION.ORG","6210 CHILLUM PL NW",
"NEW BETHEL CHR-GOD IN CHRIST",,"6440 PINEY BRANCH RD NW","CHURCH OF GOD – CONGREGATIONALIST"
"SHEPHERD PARK CHRISTIAN CHURCH","SHEPHERDPARKCHRISTIANCHURCH.ORG","7900 EASTERN AVE NW",
"FIRST MYSTERY CHURCH OF GOD",,"909 WEBSTER ST NW",
"RIGHTEOUS BRANCH COMMANDMENT",,"141 XENIA ST SW",
"COMMUNITY OF HOPE CHURCH OF THE NAZARENE","COMMOFHOPENAZ.ORG","905 ALABAMA AVE SE",
"SHRINE-THE MOST BLESSED SCRMNT","BLESSEDSACRAMENTDC.ORG","3630 QUESADA ST NW",
"FIRST SUPERET BRANCH CHURCH","SUPERETLIGHTCHURCH.COM","1420 INGRAHAM ST NW",
"NEW DIMENSIONS KINGDOM MNSTRS",,"7612 GEORGIA AVE NW # 14",
"WASHINGTON DC CHRISTIAN",,"207 ONEIDA ST NE",
"WASHINGTON DC CHRISTIAN RFRMD",,"5911 NEW HAMPSHIRE AVE NE",
"ARK FOUNDATION CHURCH","<Null>","5421 5TH ST NW",
"STAR-BETHLEHEM CHR-GOD",,"5331 COLORADO AVE NW","CHURCH OF GOD – CONGREGATIONALIST"
"MIRACLE TEMPLE OF GOD & CHRIST",,"822 GALLATIN ST NW",
"DEBRE HAIL KEDUS GABRIEL","KEDUSGABRIEL.ORG","4100 ILLINOIS AVE NW",
"CENTER FOR SPIRITUAL LIVING DC","CSLDC.ORG","400 E ST SW",
"SHAMMAH MINISTRIES INC",,"4836 7TH ST NW",
"ST JAMES II ASSOC LLC","STGREGORYHOTELWDC.COM","2033 M ST NW",
"CHURCH OF THE PILGRAMS","CHURCHOFTHEPILGRIMS.COM","2201 P ST NW",
"ANDREW RANKIN MEMORIAL CHAPEL","CHAPEL.HOWARD.EDU","2455 6TH ST NW",
"ST THOMAS MORE CHURCH","STTHOMASMOREDC.ORG","4275 4TH ST SE",
"UNITY OF LOVE PRAISE TEMPLE",,"3703 MARTIN LUTHER KING JR AVE",
"TEMPLE OF PRAISE","THETEMPLEOFPRAISE.ORG","700 SOUTHERN AVE SE",
"HOUSE OF THE LORD CHURCH","<Null>","700 7TH ST SW",
"SOUTHEAST MINISTRY","SEMINISTRYDC.ORG","3111 MARTIN LUTHER KING JR AVE",
"CHURCH OF THE SAVIOR","<Null>","2025 MASSACHUSETTS AVE NW",
"CHURCH IN THE FIELD","THECHURCHINTHEFIELD.COM","3754 MLK JR AVE SE # 101",
"REMNANT COMMUNITY CHURCH","REMNANTCOMMUNITYCHURCH.ORG","4101 1ST ST SE",
"MT JOY CHURCH",,"541 4TH ST SE",
"SEAN BETHEL","MISTERBETHEL.COM","1920 BLADENSBURG RD NE",
"GROUND TRUTH DATA","GROUNDTRUTHDATA.COM","1214 5TH ST NE",
"NORTHEAST COMMUNITY CHR OF GOD",,"2109 MARYLAND AVE NE",
"LEVI ZION",,"1001 PENNSYLVANIA AVE NW",
"WATERFRONT CHURCH DC","WATERFRONTCHURCHDC.COM","140 L ST SE",
"TRUTH ABOUT GW BUSH IS NOW OUT",,"300 PENNSYLVANIA AVE SE",
"NO GREATER SACRIFICE","NOGREATERSACRIFICE.ORG","1101 PENNSYLVANIA AVE NW # 6",
"RAYCROW APOSTLE D",,"614 EMMANUEL CT NW",
"SOCIETY-THE HOLY CHILD JESUS",,"611 N ST NW",
"ST JAMES HEALING CHURCH",,"1920 10TH ST NW",
"IOWA GENERAL ASSEMBLY","LEGIS.STATE.IA.US","20 F ST NW # 200",
"HERITAGE REVIVAL PROJECTS INC","HERITAGEREVIVAL.ORG","521 2ND ST NE",
"CHINESE COMMUNITY CHURCH","CCCDC.COM","500 I ST NW",
"WOOD ISLAND LIFE SAVING STA",,"1344 30TH ST NW",
"THREE STRANDS COMMUNITY CHURCH",,"1920 G ST NW",
"ST MARK'S SQUARE LLC",,"1629 K ST NW",
"MARCH-THE LIVING LONGITUDINAL",,"2020 K ST NW",
"READING FOR NASAA ASSEMBLY","NASPAA.ORG","1120 G ST NW",
"HOMBRES DE PALABRA",,"1701 PENNSYLVANIA AVE NW",
"RESTORATION TEMPLE MINISTRIES",,"1839 CHANNING ST NE",
"LIGHTHOUSE MINISTRIES",,"7114 7TH ST NW",
"ZEN BUDDHIST CTR OF WASHINGTON",,"4705 45TH ST NW",
"TRANSFORMATION CHURCH DC INC",,"4323 VARNUM PL NE",
"NEW CHRIST HOLY TEMPLE FWB","HTCONLINE.ORG","4000 13TH ST NW",
"ST THOMAS AQUINAS CHURCH",,"3015 4TH ST NE",
"OASIS COMMUNITY PARTNERS",,"2006 RHODE ISLAND AVE NE",
"TRIUMPHANT CHURCH",,"519 KENNEDY ST NW",
"MANIFEST SONS-GOD MINISTRIES","NETSCAPE.NET","1215 BRENTWOOD RD NE # 2246",
"RIVER CITY CHURCH","RIVERCITYCH.COM","5312 CONNECTICUT AVE NW",
"LITTLE MT ZION HOLINESS CHURCH",,"736 50TH ST NE",
"ST LOUIS DE FRANCE",,"4125 GARRISON ST NW",
"WASHINGTON D C CHURCH OF GOD",,"4604 14TH ST NW",
"UNIFICATION CHURCH",,"1611 UPSHUR ST NW",
"UNITED CHRISTIAN CHR WORLDWIDE",,"33 RIGGS RD NE",
"MISSION INTERNATIONALE POUR LA",,"5671 WESTERN AVE NW",
"MARCHAR THE WA CONGRGTN FOR",,"4268 WISCONSIN AVE NW",
"SECRETARIAT REGISTRIES CHR",,"3339 MASSACHUSETTS AVE NW",
"DOMINION CHURCH OF WASHINGTON DC",,"5335 1ST PL NE",
"MANUEL DE JESUS FERNANDEZ TRRS",,"1220 W ST NW # 102",
"UNCION PODER Y FUEGO",,"1432 CLIFTON ST NW # 2",
"BALM IN GILEAD MINISTRIES",,"5825 COLORADO AVE NW",
"INTERNATIONAL HOUSE-PRAYER",,"3613 GEORGIA AVE NW",
"IGLESIA MISIONERA CUERPO DE","CUEPRODECRISTO.ORG","5101 16TH ST NW",
"KEDUS YOHANNES METEMIK",,"4100 ILLINOIS AVE NW",
"MEPT ST MATTHEWS LLC",,"1717 RHODE ISLAND AVE NW",
"INTERNATIONAL CHRISTIAN",,"1314 18TH ST NW",
"SERBIAN",,"1717 MASSACHUSETTS AVE NW",
"SPLIT THIS ROCK INC","SPLITTHISROCK.ORG","1301 CONNECTICUT AVE NW # 600",
"CHURCH OF THE FIRST BORN",,"2451 AINGER PL SE",
"REDEEMER CITY CHURCH OF FL INC",,"4200 13TH ST NE",
"KABOD CHURCH","KABODCHURCH.ORG","4915 SARGENT RD NE",
"STEP OF FAITH MINISTRIES","STEPOFFAITHMINISTRIES.ORG","3330 14TH PL SE",
"TURNING HEARTS CHURCH","TURNINGHEARTSCHURCHDC.ORG","4275 4TH ST SE",
"AGAPE CHURCH OF CHRIST INC","CHURCH-OF-CHRIST.ORG","2002 14TH ST SE",
"I AM THE WAY THE TRUTH & LIFE",,"3082 STANTON RD SE # 101",
"VICTORY WORD & WORSHIP CTR",,"2322 16TH ST SE",
"NEW REDEEMED CHURCH OF CHRIST",,"2613 30TH ST SE",
"YORKTOWN VICTORY CTR",,"1050 CONNECTICUT AVE NW",
"Bethel Commandment Church of Living God","<Null>","1627 KENILWORTH AVENUE NE",
"Fisherman Of Men","FISHERMANOFMENCHURCH.ORG","3641 GEORGIA AVENUE NW",
"The Greater New Highway Christian Church of Christ",,"5057 C STREET SE",
"Holy Christian House of Praise for all people","http://www.hchouseofpraise.org/","5110 NANNIE HELEN BURROUGHS AVENUE NE",
"Beauty for Ashes Multicultural Worship Center",,"1229 47TH PLACE NE",
"Beginning Church of God",,"1235 S STREET NW",
"Saint John's Church Of God",,"1301 H STREET NE",
"Second Refreshing Church of God in Christ",,"4407 LEE STREET NE",
"Sacred Heart Spiritual Church",,"721 48TH STREET NE",
"True Vision Chruch of God In Christ Inc.",,"4410 HUNT PLACE NE",
"Washington International Church","http://internationalchurch.org/","4420 RIVER ROAD NW",
"Faith Assembly Of Christ","FAITHASSEMBLYOFCHRIST.COM","4821 GEORGIA AVENUE NW",
"The New Solid Rock Perfecting Church",,"701 15TH STREET NE",
"Macedonia Church of God in Christ","MACEDONIACOGICDC.ORG","1320 FARRAGUT STREET NW",
"Church of God of Prophecy - Capitol Hill",,"1400 E STREET NE",
"Peabody St Mennonite Church",,"245 PEABODY STREET NW",
"Jerusalem Church Of God in Christ",,"3128 MARTIN LUTHER KING JR AVENUE SE",
"Praise Temple Church Of Christ",,"4211 9TH STREET NW",
"Resurrection Church of God in Christ",,"3516 18TH STREET NE",
"The Church of Jesus Christ of Latter Day Saints",,"522 7TH STREET SE",
"St Paul Temple Church Of God",,"3420 16TH STREET NE",
"St Paul AUMP",,"401 I STREET SE",
"Cherubim and Seraphim Church Ayo",,"774 GIRARD STREET NW",
"Cosmic Church",,"113 2ND STREET NE",
"Ebenezer United Methodist",,"420 D STREET SE",
"Community Holiness Church",,"305 K STREET NE",
"First Hijra Foundation","FIRSTHIJRAHFOUNDATION.COM","4324 GEORGIA AVENUE NW",
"Faith Deliverance Center",,"807 ROCK CREEK CHURCH ROAD NW",
"Joshua's Temple FBC",,"4318 SHERIFF ROAD NE",
"Open Door Temple Church of God in Christ",,"1918 BENNING ROAD NE",
"Franklin P Nash United Methodist",,"2001 LINCOLN ROAD NE",
"New Testament Church",,"400 BUTTERNUT STREET NW",
"Albright Memorial United Methodist",,"411 RITTENHOUSE STREET NW",
"Temple Rock Of Ages Assembly of Yahweh",,"1300 I STREET NE",
"Tyson Temple First Born",,"3024 MASSACHUSETTS AVENUE SE",
"New Mount Zion Church Of God",,"628 15TH STREET NE",
"Shepherd Park Church Of God",,"7239 GEORGIA AVENUE NW",
"CHRIST CHURCH - GEORGETOWN","CHRISTCHURCHGEORGETOWN.ORG","3112 O STREET NORTHWEST",
"SAINT BLAISE CHURCH",,"4835 MACARTHUR BOULEVARD NORTHWEST",
"CHRIST CHURCH ON EMBASSY ROW","www.REPRESENTJESUS.COM","3855 MASSACHUSETTS AVENUE NORTHWEST",
"SAINT FRANCES XAVIER CHURCH","STFRANCISXAVIERDC.ORG","2800 PENNSYLVANIA AVENUE SOUTHEAST",
"BIBLE WAY TEMPLE","BIBLEWAYWASHINGTON.ORG","1100 NEW JERSEY AVENUE NORTHWEST",
"CHURCH OF OUR SAVIOUR",,"1616 IRVING STREET NORTHEAST",
"CHURCH OF THE ASCENSION AND SAINT AGNES","ASA-DC.ORG","1217 MASSACHUSETTS AVENUE NORTHWEST",
"THE CHURCH OF THE HOLY COMMUNION",,"3640 MARTIN LUTHER KING JUNIOR AVENUE SOUTHEAST",
"SAINT BENEDICT THE MOOR","STBENMOORDC.ORG","320 21ST STREET NORTHEAST",
"CHURCH OF THE ASSUMPTION OF THE BLESSED VIRGIN MARY","ASSUMPTIONDC.ORG","3411 MARTIN LUTHER KING JUNIOR AVENUE SOUTHEAST",
"OUR LADY QUEEN OF PEACE CHURCH","OLQPDC.ORG","3800 ELY PLACE SOUTHEAST",
