"","NAME","WEB_URL","ADDRESS"
"149","TEMPLE OF THE LIVING EPOSTLE","","4821 MEADE ST NE"
"150","BETHLEHEM CHURCH-GOD HOLINESS","","5898 EASTERN AVE NE"
"151","OUR LADY OF LEBANON","MARONITESEMINARY.ORG","7164 ALASKA AVE NW"
"152","OVERCOMING FAITH MINISTRIES","","6401 CHILLUM PL NW"
"153","TEMPLE SINAI","TEMPLESINAIDC.ORG","3100 MILITARY RD NW"
"154","NORTHWEST COMMUNITY CHURCH","","4100 16TH ST NW"
"155","BROTHERHOOD OF THE CROSS-STAR","OOO-BCSUSA.ORG/WASHINGTON-DC-BETHEL","916 RITTENHOUSE ST NW"
"156","CAPITAL WESLEYAN CHURCH","WESLEYAN.ORG","3831 14TH ST NW"
"157","PLYMOUTH CONGREGATIONAL CHURCH","PLYMOUTH-UCC.ORG","5301 N CAPITOL ST NE"
"158","MT CALVARY HOLY CHURCH","MTCALVARYHOLY.ORG","5900 CHILLUM PL NE"
"159","BUDDHIST CONGREGATIONAL CHURCH","www.GIACHOANGTEMPLE.COM","5401 16TH ST NW"
"160","VICTORY CHURCH OF JESUS CHRIST","VICTORYONTHEHILL.COM","4210 2ND ST NW"
"161","CELESTIAL CHURCH OF CHRIST","CCCUSADIOCESE.ORG","6200 CHILLUM PL NW"
"162","CHURCH OF THE ANNUNCIATION","<Null>","3125 39TH ST NW"
"163","CALVARY LIFE CTR","","304 KENNEDY ST NW"
"164","BETHEL CAPITOL CHURCH","BETHELCAPITOLCHURCH.ORG","6130 N CAPITOL ST NW"
"165","CITIZEN HEIGHTS CHURCH","CITIZENHEIGHTS.COM","4100 RIVER RD NW"
"166","RESTORATION CHURCH","RESTORATIONCHURCHDC.COM","3950 CHESAPEAKE ST NW"
"167","FOURTH CHURCH CHRIST SCIENTIST","CHRISTIANSCIENCEDC.ORG","5510 16TH ST NW"
"168","FROM THE HEART CHR MINISTRIES","","24 KENNEDY ST NW"
"169","CLEVELAND PARK CONGREGATIONAL","CPCCHURCH.ORG","3400 LOWELL ST NW"
"170","SEEKERS CHURCH","SEEKERSCHURCH.ORG","276 CARROLL ST NW"
"171","CHURCH OF CHRIST","COC16TH.ORG","4801 16TH ST NW"
"172","CHURCH OF THE NATIVITY","NATIVITYCHURCH.NET","6001 13TH ST NW"
"173","CHURCH-THE NATIVITY-OUR LORD","","6000 GEORGIA AVE NW"
"174","FAITH MISSION TEMPLE","FAITHMISSIONTEMPLE.ORG","102 KENNEDY ST NW"
"175","FAITH MORAVIAN CHR-THE NATIONS","FAITHMORAVIANCHURCH.ORG","405 RIGGS RD NE"
"176","JEMBOLLA SISAY","","4401 16TH ST NW"
"177","INTERNATIONAL ETHIOPIAN","EECDC.ORG","7930 EASTERN AVE NW"
"178","NATI SPIRITUAL","NSSDC.ORG","1325 FERN ST NW"
"179","IGLESIA DE JESUCRISTO PALABRA","MIELVISION.ORG","6210 CHILLUM PL NW"
"180","NEW BETHEL CHR-GOD IN CHRIST","","6440 PINEY BRANCH RD NW"
"181","SHEPHERD PARK CHRISTIAN CHURCH","SHEPHERDPARKCHRISTIANCHURCH.ORG","7900 EASTERN AVE NW"
"182","FIRST MYSTERY CHURCH OF GOD","","909 WEBSTER ST NW"
"183","RIGHTEOUS BRANCH COMMANDMENT","","141 XENIA ST SW"
"184","COMMUNITY OF HOPE CHURCH OF THE NAZARENE","COMMOFHOPENAZ.ORG","905 ALABAMA AVE SE"
"185","SHRINE-THE MOST BLESSED SCRMNT","BLESSEDSACRAMENTDC.ORG","3630 QUESADA ST NW"
"186","FIRST SUPERET BRANCH CHURCH","SUPERETLIGHTCHURCH.COM","1420 INGRAHAM ST NW"
"187","NEW DIMENSIONS KINGDOM MNSTRS","","7612 GEORGIA AVE NW # 14"
