STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,WT01,WT11,WT03
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20100222,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20100223,-9999,-9999,0.24,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20100224,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20100301,-9999,-9999,0.04,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20100302,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20100303,-9999,-9999,0.10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20100304,-9999,-9999,0.02,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20100308,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20100309,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20100310,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20100311,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20100312,-9999,-9999,0.65,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20100315,-9999,-9999,1.35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20100318,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20100319,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20100330,-9999,-9999,1.79,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20100331,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20100407,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20100408,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20100409,-9999,-9999,0.77,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20100415,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
