OBJECTID,CJRTRACTBLOCK,CNT_CJRTRACTBLOCK,SHAPE_Length,SHAPE_Area
3220,4300 1000,1,590.174396,13850.122378
3221,4400 1005,1,648.490792,24714.491448
3222,4400 1000,1,428.89566,8274.665097
3223,3700 1009,1,751.955182,22829.873437
3224,4400 1004,1,454.055392,10783.527773
3225,3500 2003,1,285.367724,3697.995949
3226,3800 2003,1,720.948401,25967.208201
3227,4400 1003,1,462.945069,10763.427
3228,4400 1002,1,526.64286,15643.780668
3229,4400 1001,1,511.782938,15119.686876
3230,3500 2005,1,852.064049,28065.29047
3232,3800 2002,1,559.633548,14800.2595
3233,3600 1011,1,569.836889,16591.167303
3234,3800 2001,2,1151.101869,46485.303906
3235,3700 1008,1,776.915656,31871.860105
3236,3600 1009,1,862.037491,45152.451593
3237,3600 1010,1,686.901096,29002.831936
3238,3700 1005,2,995.420435,44026.480959
3239,3700 1004,1,542.840687,17298.486922
3240,3600 1007,1,585.469243,21378.013093
3241,3600 1006,1,707.970126,30452.976774
3242,3600 1008,1,470.279756,12913.68015
3243,3500 2002,1,995.226394,51662.254752
3244,3500 2001,1,910.32219,33275.84409
3245,3500 2000,1,1067.387299,62739.748229
3246,3700 1003,1,538.880418,17458.996272
3247,3600 1005,1,650.832773,23640.554388
3248,3600 1004,1,684.256616,25502.466593
3249,3500 1005,1,474.965846,14000.190073
3251,3500 1006,1,740.138908,28572.03661
3252,3700 1002,1,963.446531,39900.836475
3253,3500 1002,1,632.660448,14351.634141
3254,3700 1000,1,791.089077,30880.45227
3255,3600 1001,1,674.872945,25214.155485
3256,3600 1000,1,683.139799,25477.399875
3257,3500 1001,1,425.175098,11260.290402
3258,3500 1000,1,643.811713,14464.125166
3259,2802 2009,1,630.373443,23108.407583
3260,2802 2010,1,331.609055,6203.214164
3261,3100 2002,1,622.65851,14150.467972
3262,3000 1008,1,664.49886,22076.131943
3263,3000 1009,1,652.276824,23309.52718
3264,3100 2001,1,420.636017,10900.27633
3266,3100 2000,1,633.646107,14290.601947
3267,3000 1006,1,623.213436,21504.592246
3268,2802 2005,1,920.076342,42954.973335
3269,3000 1007,1,749.058299,28688.050079
3270,3100 1013,1,435.73668,11868.60645
3271,3100 1012,1,737.021006,28842.521305
3272,3000 1003,1,722.295914,28617.408355
3273,3000 1004,1,584.49204,20466.870061
3274,3100 1010,1,449.636163,12626.30137
3275,3100 1011,1,744.140577,28659.675969
3276,3000 1002,1,225.600464,1944.027957
3277,2702 2002,1,620.995147,20689.03687
3278,2702 1004,1,217.317361,1549.590533
3279,3000 1005,1,549.944813,18280.419437
3280,2702 1005,1,354.249547,7678.496105
3281,3100 1009,1,471.610278,13583.264934
3282,2802 2004,1,807.103306,37509.605033
3283,3100 1008,1,750.790503,28782.521319
3284,3000 1001,1,754.978204,31051.035619
3286,3000 1000,1,482.995776,13714.621904
3287,2900 2009,1,598.227511,18582.086206
3288,3100 1007,1,744.242594,28895.262765
3289,3100 1006,1,568.679975,19952.437113
3290,2900 2010,1,448.098969,11660.361975
3291,2900 2008,1,518.581314,14843.912558
3292,3100 1005,1,246.919899,2156.653705
3293,2900 1007,1,479.047145,13427.695469
3294,2900 1006,1,429.60205,10139.4747
3295,3100 1004,1,746.150846,28738.317102
3297,2900 2007,1,476.220014,12343.024134
3298,3100 1003,1,642.62533,17380.486185
3299,2900 2006,1,475.561643,12301.944749
3301,2502 2007,1,409.583715,7592.083729
3302,3100 1000,1,363.816327,5513.38845
3304,2900 2000,1,618.700978,20551.686526
3305,2801 1003,1,763.679884,21636.849992
3306,2502 3009,1,147.744365,715.49994
3307,2801 1002,1,82.377118,244.969334
3308,2502 2006,1,662.379914,23474.180043
3310,2900 2001,1,521.263832,14776.910318
3311,2801 1010,1,179.548677,1341.867179
3312,3100 1002,1,538.800556,12347.995497
3313,2900 1005,1,578.297719,18119.590723
3314,2900 2004,1,481.439112,12804.458415
3315,2900 2005,1,740.946241,26387.050636
3316,2900 1004,1,665.828978,23616.64759
3317,2801 1009,1,613.32274,15907.071083
3318,3200 2002,1,496.364648,12920.857225
3319,2801 1012,1,295.494123,4865.709536
3320,2701 1005,1,256.362515,3814.508451
3321,501 2005,1,672.812236,18181.576127
3322,501 2004,3,459.269805,5188.51164
3323,4001 1002,1,717.822248,26016.467519
3324,4001 3000,1,584.698575,17570.884279
3325,4002 1000,1,662.712835,21997.16885
3326,4001 3001,1,154.585237,726.446135
3327,3800 2000,1,829.275709,30726.067747
3328,3800 1007,1,706.02791,25327.55163
3329,4001 1000,1,502.72949,15835.994799
3330,3800 1006,1,734.610551,27618.946075
3331,4001 1001,1,622.765502,21392.045674
3332,3700 1007,4,1202.578286,56637.464652
3333,3900 1006,1,280.858385,2641.17377
3334,4001 3002,2,1236.645614,57829.238618
3335,501 1009,1,609.966604,12565.565651
3336,501 1008,1,523.981418,10294.838096
3337,3800 1010,1,187.920631,1521.589113
3338,501 2002,2,552.552011,15220.536136
3339,501 1007,1,511.540445,14796.501416
3340,3800 1009,1,395.711386,8816.895802
3341,3900 2008,2,1158.136971,52486.62404
3342,3800 1005,1,565.396594,19243.591816
3343,501 2001,1,421.578477,8819.35404
3344,3800 1003,1,560.961196,17646.621636
3345,501 1005,1,600.801226,17102.104384
3346,3900 2007,1,799.023956,30880.12195
3347,501 1006,1,689.758145,22853.736461
3348,3800 1001,1,522.841385,16841.150165
3349,3700 1001,1,519.282204,15381.909767
3350,3800 1000,2,179.657918,1561.580877
3351,3900 2004,1,492.810865,13878.042573
3352,3900 2003,1,334.609521,6305.123308
3353,502 3002,1,640.655475,20912.710212
3354,3900 1003,1,275.514931,3896.078325
3355,2802 2008,1,297.951755,4561.595041
3356,3900 1000,2,693.457527,23410.473683
3357,3900 1001,1,420.581939,10083.158604
3358,3900 1002,1,832.072477,28338.322367
3359,3900 2000,1,166.066152,1040.838527
3360,3900 2001,1,518.599911,16362.659364
3361,3900 2009,2,933.599124,29634.028688
3362,501 1004,1,784.319076,25278.881019
3363,3900 2002,1,1303.117446,53507.585579
3364,501 1003,1,856.702631,29902.068719
3365,3900 2010,2,1570.737451,48254.173741
3366,502 3000,1,642.486624,23163.1622
3367,2802 2006,2,573.929957,13043.144543
3368,2702 2005,1,453.497554,8305.817902
3369,2702 2004,1,1025.492364,39480.579598
3370,2802 2007,1,136.966267,659.173581
3371,501 1002,1,567.783971,13665.992181
3372,2702 2003,1,620.192713,20659.625596
3373,2702 2006,1,1638.827331,59481.583
3374,2702 1006,1,461.806356,12771.857964
3375,2702 3010,1,511.970026,14566.969843
3376,2702 1003,1,713.21004,24196.765829
3377,2702 3006,1,1251.241455,19272.286615
3378,2702 1002,1,251.590787,3464.848201
3379,2702 3008,1,700.490619,24823.068733
3380,2802 2002,1,273.594711,2521.282734
3381,2702 3005,1,1608.471641,33191.268257
3382,2702 1001,1,341.442511,3043.51226
3383,2702 1000,1,700.464918,24765.233797
3384,2702 2000,1,656.70114,23546.591171
3385,2802 2001,1,942.422853,34492.083846
3386,2702 3000,1,754.789692,26388.921652
3387,2701 2004,1,204.34206,1808.637767
3388,2702 3003,1,989.332487,27473.764675
3389,2702 3002,1,546.989943,13651.559101
3390,2702 3001,1,561.004257,17621.600903
3391,2802 2000,1,871.745903,24239.627428
3392,2701 2007,1,680.634172,24773.136844
3393,2702 3004,2,505.983225,7458.0709
3394,2701 2003,1,668.427202,21581.41683
3395,2701 2000,1,459.808728,10754.955232
3396,501 1001,5,434.002099,5476.818061
3397,1302 2009,1,157.822102,602.209176
3398,2701 2006,1,698.551545,24633.334129
3399,2701 2002,1,531.858086,15843.600875
3400,1302 2010,2,408.768247,7781.699437
3401,2600 3015,5,458.638522,5743.749864
3402,2801 1011,1,1010.800925,44454.041795
3403,1302 2006,1,282.925846,2131.294142
3404,2701 1003,1,1228.298269,81692.161149
3405,1302 2004,1,602.066411,16134.905138
3406,1302 2005,3,675.630944,16536.727744
3407,2801 1004,1,504.341722,11582.214557
3408,2701 1001,1,2174.234886,128652.729678
3409,2801 1001,2,578.083172,15683.10143
3410,2701 1000,1,1255.024905,75199.74029
3411,2600 3011,1,613.309514,22280.70661
3412,2600 3012,3,1593.06759,48627.097649
3413,2600 3013,4,2004.526051,38123.889118
3414,2600 3006,1,502.674586,17169.808461
3415,2600 3010,1,581.550785,18436.013554
3416,2502 3003,2,609.378934,15275.244819
3417,1302 2002,1,574.464153,16749.125076
3418,2600 3008,1,537.687413,17601.977653
3419,2600 3007,1,780.727025,31932.032348
3420,2600 3009,1,640.622596,23912.444732
3421,2502 3004,2,1362.849644,93864.538019
3422,1302 1008,1,475.215181,7505.438098
3423,2600 3003,1,831.353242,33234.704002
3424,2600 3004,1,379.781159,9666.23456
3425,2600 3001,1,733.543114,29167.756688
3426,2600 3002,1,601.875233,21502.801395
3427,2501 3012,1,771.998991,30257.820069
3428,2600 2022,1,628.797491,23154.358059
3429,2600 2023,1,686.67468,26388.656544
3430,2600 2024,1,668.313418,24278.72738
3431,2600 3005,4,4860.643338,481600.498526
3432,2501 3011,1,567.084285,19546.224921
3433,2600 2021,1,650.474859,24472.237981
